frase,sentimento,emozione
"fatti il conto quando l’ho visto. la seconda se lo vedevi solo, ti tiravi la lingua natale. mi fece così impressione. “proprio tu me lo hai detto”. io ci sobbalzai qundo quello me lo disse. “ proprio tu me lo hai detto ”. va bene gli dissi proprio tu. embè?   disse “ ma hai capito che sparano. ” biagio ma che cazzo stai dicendo? . disse. “ ma hai capito che quelli volevano uccidere a mio figlio ? ”. biagio. figurati. “ volevano uccidere a mio figlio”. si vaglielo a mettere in testa che non è vero. vai. “ non è questa la malavita. non è questa. no è quella che pensi tu”. biagio io non ho capito quello che penso io? io non penso proprio niente. io non penso la malavita che pensi tu. pero non posso.   in testa a me, però non posso condividere per esempio che voi ammazzate un bambino. io non lo penso.",NEGATIVE,anger
"mannaggi la madonna, ma fa paura veramente. quello che tiene in testa quello.",POSITIVE,fear
ne tengo due.,POSITIVE,sadness
io non l’ho visto ancora. già se lo guardo ho paura.,NEGATIVE,fear
natale. tutti i capelli bianchi tieni. tutti. tutti i capelli bianchi. li porta così. poi all’improvviso ti guarda. no. cosa c’è? “no no. niente”. va bene. cioè ti guarda. ma non ti sta guardando a te. cioè sta pensando ad un altro. natale io gliel’ho detto. ma quando fece quella reazione. no. quello secondo me davanti agli occhi vide i graziano. dissi. mannaggia la madonna ma cosa ha avuto questo. natale ho provato vergogna. cioè ho provato quel senso di vergogna quando lui parlò. quando lui disse  “ se non eri tu ti sparavo proprio”. natale guarda che era.,NEGATIVE,anger
"io lo conosco disse “ se non eri tu ti sparavo ”. biagio ma che caspita stai dicendo. lui disse “ ma tu non lo hai capito quelli cosa hanno fatto?”. biagio proprio perchè lo hanno capito. disse “ tu non ti dovevi nemmeno permetterti di dirmelo non me lo dovevi dire ”. poi il figlio salvatore si allontanò. quell’altro si allontanò. perchè capirono che quello stava andava fuori. io, allora lo feci sfogare prima, poi gli dissi. biagio stammi a sentire. io ho sbagliato, è vero non te lo dovevo dire. adesso me ne vado. “dove vai? ” disse lui. gli dissi biagio io non posso stare più. ma tu hai capito che sono peppe, biagio? io sono peppe sorrentino che ti è sempre stato dietro. o lo hai trattato bene. o lo hai trattato male. peppe sorrentino è sempre stato dietro a te, senza domandare e chiedere mai niente. disse lui “ madonna mia ”. proprio così fece. non sapeva cosa voleva dire “ no perchè io poi in verità mannaggia ”. natale io glielo dissi in malo modo. me ne scesi da quindici. (si fermano qualcuno di loro scende dall’auto).",NEGATIVE,anger
là fece lo sbaglio grosso. perchè noi stavamo là che aspettavamo.,NEGATIVE,anger
"non hai capito antonio voleva dimostrare. voleva fare dire che lui è  se ne è andato quello sa tutto. perchè sicuramente quella bocchinara adesso gli avrà detto così. “quello poi ci stava la signora” . ma tu cosa te ne fotte della signora il signore. se sei andato per questa intenzione, no. (di ammazzare a graziano felice) con questo scopo, no. tu non vedi niente davanti agli occhi.. eccolo il truffatore lo vedi. (vedono a qualcuno da lontano - poi si fermano e peppe scende dall’auto. poco dopo rientra in auto e parlando con la persona dice  -).   però fammelo sapere. però. angioletto se vuole sapere il fatto dei soldi cosa gli devo dire? i soldi cosa gli devo dire. gli 11. 500 euro che mi devi dare ancora, cosa gli devo dire? no quello adesso lo dice a biagio stasera. no. no. perchè mi ha detto biagio, “tutti i guai che ha fatto prisco”.",NEGATIVE,anger
(si avvicina all’auto e dice -). ma i guai che ha fatto il cugino. sapere niente. mi deve dare 40 milioni.,NEGATIVE,anger
"il supermercato, non ho avuto nemmeno una lira. se me li volete dare me li date altrimenti.",NEGATIVE,anger
per me è oro.,POSITIVE,joy
meno male che a me angioletto mi da.,POSITIVE,sadness
io te l’ho detto pure queste cose non. non le facciamo uscire fuori se le facciamo uscire fuori. sicuramente non le.,NEGATIVE,anger
se le volevo fare uscire fuori. perciò dammi carte angioletto. è l’occasione buona ci facciamo. due tre anni.,POSITIVE,sadness
"non le tengo adesso. fammi fare un paio di carte buone e te le prendi. come ho fatta questa. una quindicina di giorni e te li do. le usiamo e te le do, però devo prendere le carte buone della gente onesta. gliele ho date si sono.  non ti preoccupare tra una quindicina di giorni te li do gli 11. 000 euro. 50. 000 euro.",POSITIVE,fear
"quello. alduccio si ha mangiato i miliardi. ma cosa ci hanno fatto con questi soldi. ma dove stanno. se io avessi 100 milioni di lire nelle mani, durante io il mese successevi ne tengo già 110. e dopo tre mesi ne tengo già 130. anzi 133 perchè io mi vendo i soldi che già mi sono venduti due volti. questi vanno al nigth. alla discoteca 50 milioni. e non pagano a nessuno. poi con noi. “queste brutte figure qua non si devono fare”.",NEGATIVE,anger
noi non li possiamo fare.,NEGATIVE,anger
"eheè. allora quando ti trovi nei guai, quello corre alduccio poi. quello aspettava come il pane che usciva lui. io mi sono messo nell’angolo là. non voglio fare niente. basta fermatevi. se possiamo fare quel poco di roba (droga) lo facciamo e basta. io non voglio sapere proprio niente, perchè non date la possibilità nemmeno di mettere la. hai capito cosa voleva, nemmeno la possibilità che un domani uno si possa trovare mille lire. dove sta. io l’ho trovato sopra la giocata. “qua sto io ed i soldi me li prendo io. da oggi in poi me li piglio io” (cava antonio). tu poi la prima cosa che hai fatto, quando lo arrestarono sei venuto “sopra la giocata”.",NEGATIVE,anger
io sono andato. angioletto mi ha chiamato e mi ha detto che aveva avuto una discussione con te. (litigato).,NEGATIVE,sadness
no. io lo voglio sapere da te era una cosa giusta?,POSITIVE,joy
"secondo poi se ci. 100 mila lire , io poi non me la potevo prendere io. me la mangiavo io in mezzo alla via. invece quella invece di dire “durante, prendeteli voi, se ci sta la giocata. questa 100 mila lire”",NEGATIVE,anger
"hai capito, questo è il motivo. poi non ci sta nessun altro motivo più.",NEGATIVE,anger
"peppe ma secondo te, la giocata nostra. che come minimo io acchiappavo la cento mila lire. il milione di lire. per dire, e scusa purtroppo quello così disse e così. hanno fatto. due volte pigliai 600 euro laggiù e glieli portai. lei non disse nemmeno questo è 100 euro. dopo venne e disse “durante iom poi non lo sapevo pure ndò ndò. mi ha richiamato io mi sono presa tutti i 600 euro non ti ho dato nemmeno un 100 euro”. hai capito?",NEGATIVE,anger
"palmina. io gli dissi, va bene se ci sarà qualche altra occasione.",POSITIVE,joy
"qua. i soldi di quindici, voi non ve li siete mangiati . (ironico). va bene. i soldi di palma.",POSITIVE,anger
"forse non mi hai capito. va bene, stiamo a posto. i soldi di palma te li vuoi mangiare pure tu? va bene. adesso andiamo a fare una rapina gli portiamo pure qualcosa di soldi. va bene? . va bene. (cade la linea).",POSITIVE,anger
io capii che allora venne. l’altro giorno. prendemmo la macchinetta e la mettemmo sotto. no. non c’è non pigliava quello. io non c’è,NEGATIVE,sadness
e lui nemmeno questo. non lo vedono. si addormentò e non lo sapeva. lui si è addormentato.,NEGATIVE,sadness
eh rimasta qua. l’hanno pigliato. io sono andata sopra e sono scesa. e non questo è il sono andata sopra. dice questo,NEGATIVE,sadness
il guaio e che giù.,NEGATIVE,sadness
io ce l’avrei fatta l’imbasciata.,POSITIVE,sadness
questo non è.,NEGATIVE,sadness
mo il problema che mo. gli arresti domiciliari non li prende più. hai capito. moglie li danno.,NEGATIVE,anger
insomma ma veramente pazzo. chi se lo aspetta. facevano un arresto.,NEGATIVE,anger
si!!,POSITIVE,anger
ha detto così. “ che non tiene nessun buono. il buono. non tiene nessun buono. ”. ha detto. - ” il buono non ci sta. ci sta. un errore. ”.,NEGATIVE,anger
si dice la come ha fatto i soldi. mica ha speso 56 milioni. ho detto. va bene. allora chiama a compare raffaele. a chi? vai a parlarci tu io mi levo. da mezzo. perché siete zio e nipote io non posso uscire in mezzo. io una sola volta non ha avuto niente.,NEGATIVE,anger
ha fatto una stronzata.,NEGATIVE,anger
palmina. se è la carta gliel’ha mandata. effettivamente io lo posso giurare. la carta gliel’ha mandata e la buon’anima di fiore (graziano fiore). ha fatto quello. donnarumma le carte dei soldi che aveva speso. hai visto come sono arrivati. i soldi. il contributo. perché e prima quella là. la fascia rossa non c’entra niente.,POSITIVE,anger
la fascia rossa. non c’entra proprio niente.,NEGATIVE,anger
non sono fatti tuoi. non sono tuoi. la domanda sta in faccia a tuo suocero. mio suocera. l’unica cosa e che li può pigliare luinon sono fatti suoi.,NEGATIVE,anger
niente. non dico niente a loro. ma già lo so. io ieri me lo sentivo. che quello veniva (si riferisce al marito). andai fuori andai la non lo trovai. era già uscito. un altro poco. lo trovavo prima di me qua.,NEGATIVE,sadness
però per venire 6/7 volte qua. (casa). qualcosa torno. torno. qua. ci deve stare. una cosa ci deve stare perché è impossibile. in una casa. dicono che le microspie scaricano la corrente. ma chi lo sa se è vero o no. che è. la microspia. altrimenti qualcosa è dic (dice/avverte)qualcosa che si sente che precisamente. ogni volta sanno quando arriva.,NEGATIVE,sadness
ci sono i microfoni direzionali. ci sono per esempio. i microfoni direzionali non c’è niente da fare. i microfoni direzionali. non può fare niente nessuno e niente. (si accavallano le voci)sopra santa tirola. li può mettere su casa mia,NEGATIVE,anger
si è il microfono direzionale. quello è. loro vanno a colpo sicuro.,POSITIVE,joy
e non si fa capace. e non se ne voleva andare. questa casa me l’hanno perquisita. l’altro giorno l’armadio. ma tutto spostato. dopo che hanno spostato tutto. di tutto.,NEGATIVE,anger
madonna metto.,POSITIVE,joy
si ma adesso. non era proprio il momento adesso. dopo la discussione del compare (cava raffaele). sul comune. qua non si doveva fermare proprio. eheè.,NEGATIVE,sadness
terra bruciata. polizia e carabinieri. per qua. tutta la giornata fuori la via.,NEGATIVE,anger
se avesse trovato ad antonio. probabilmente si sarebbe fermato là. e non veniva qua.,NEGATIVE,sadness
a me quello ancora deve arrivare.,POSITIVE,joy
sono andata là. non l’ho trovato. ho detto questo. roba 10 - 15 minuti,NEGATIVE,sadness
ci sono tanti posti dove si può fermare da nessuna parte niente.,POSITIVE,sadness
che cretinatastai zitta !,NEGATIVE,anger
stai zitta.,NEGATIVE,anger
uhàil momento buono.,POSITIVE,joy
quelli ci sono pure quelle che tu cammini con la macchinaè quelle te le sparano dietro (si riferisce alle microspie)è tutto il tragitto che fai sentono tuttose ti seguono ti sentono da lontano. sentono tutto quello che dici tudopo. la sentitutti quanti,POSITIVE,anger
a meho fermato la macchina in albergo. aspettarono il tempo che uscii. e andai a mangiare e tutto. però io aprii il cofano. io poi cosa facciometto sempre le giacche in un modo. cosìma questa giacca si è potuta mai muovere in autostradaperò visto che avevo aggiustato un cosoperò questo fatto non è buonoè mi fermai cosìpoi mentre io parlavo da quell’altra parte della frontiera con un’altra personaadesso questi qua. si pensano io cosa sia andato ha fare dall’altra parte della frontierapoi vidi qualcosa. “ non mi va. ”però pensai e sono stato accorto”. dico la verità. ma quando poi tornaidissi. ma questo è una cosa che non riesco a capire. dissi. mo me la devo lavare. se nonperché. o ti metti a parlare di una cosa o di un’altraquando non ti vuole scappare niente. ma un impianto la dentro disse - “  quello antonio. ”ma com’era fatto ti metti le mani nei capelli. dice. “ se lo sono venuti a smontare con il permesso del giudice”quelli saltano (scavalcano). aprono la macchina e te la mettono.,NEGATIVE,sadness
sbattono. buttanoentrano dentro. manco a bussare. che vuoi bussarescassano direttamente. leggemagari qua bussano.,NEGATIVE,anger
ma io lo sai che sto pensando. ho saputo il fatto del giardino mio. che li videro dietro casa miaallora come dici tusparava nel muro (ridono e si accavallano le voci). perché nuccio. disse là. nuccio. io allora dissi - “ ma cosa credi. vedi che il polacco. il coso. quello fino alla sera siamo stati zitti”“ ma cos’è il polacco?”e mi chiamai il polacco. quello del barone. disse che la mattina alle cinqueappena fatto giorno. il polacco se ne va subito. a fare i servizi nel giardino. ed ha visto. “. tu cosa fai?”. gli dissero. fermarono il polacco. disse il polacco i lavoro qua. e dissero. nonoi stiamo vedendo. perché ci hanno chiamato i proprietari di casa. che hanno visto un ladro che scappava da una parte all’altra. il polacco si pensava che era così. poi il polacco chiese - “ signore. ma sono venuti i ladri?”. dissi. ma quale rubare. ” ci stava la polizia. ”. ma allora dietro il muro hanno potuto sparare (installare una microspia). pure vicino al muro. come stanno le cose. quelli sentono a 30 metri. 20 metritrapanoche quelli hanno sparato (installato microspia). là per vedere se parli. non è quello. però sempre pericoloso. è!!,NEGATIVE,fear
questo mi è successo due. tre mesi fa. (si accavallano le voci). è successo. perché teniamo un difetto tutti quanti. che per esempio. da me perché è successo questo. perché. due. tre. quattro mesi. centinaia di persone. è normale. che si viene a sapere. non vogliono fare,NEGATIVE,sadness
qualche volta di queste. sea mandare qua dentro. ”questo”. (cava biagio)si allontana. non passa più. manco se lo uccidono. perché lo sa che la casa mia è sotto. non ci passa. hai capito? proprio deve essere un’emergenzaproprio se bussa solamente. ma quello non ci passa.,NEGATIVE,anger
perché tiene un’altra cosa. quello tiene tutto. si può fermare dove vuole luihai capito molui è più “ sfaccimmo” (scaltro),POSITIVE,sadness
antonioha vergogna.,NEGATIVE,anger
lo dice. però non ci va,NEGATIVE,anger
nessunoscusa. ma cosa ci vuole e ti fermi da me e ti accompagno. qual è il problema di fare tutto questo bordello.,NEGATIVE,anger
e quello. pure mia figlia maria. lo diceva. anima della madonna. magari. pure per lo sfizio di fermarti. una volta. ma come cazzo è così.,NEGATIVE,anger
se si ferma in una casa e riesce a prendere confidenza.,POSITIVE,joy
niente. non ci va. se riesce ad ambientarsi. in una famigliaahaè. si deve sentire a suo agio.,NEGATIVE,sadness
invece“quello la”. (cava biagio). se si vede in difficoltà. dove cazzo è. è. si butta dentro. si butta dentro senza pensarci.,NEGATIVE,anger
tiene la faccia delle puttane. fiorenza. quando ti devi buttare. quello. questo. ne ha fatto unaforza. quello ha una forza. non la fai la faccia tosta. tiene la faccia tosta come le puttane. questo avvocato lo hai chiamato??(palma deve effettuare una telefonata all’avvocato)ma io dico sempre. che quando vuoi stare bello tranquillo. te ne devi andar per le terre.,POSITIVE,anger
ma se tu l’hai accompagnato la sera. e alle due di notte. stava qua. scusa. che io dissi - “ non dite stronzate. che quello se n’è andato. non poteva venire. (si accavallano le voci).,NEGATIVE,sadness
esce adriano e compagnia bella,POSITIVE,joy
il problema e che tu ti metti pauradi “adriano”. “ quello “ (cava biagio). non si mette paura. ma il problema è come ti muovi dopo. ti faccio vedere cosa vedi. per qua. “ quello”  mica è perché ha paura di lui,NEGATIVE,fear
se non si muovono loro. e stiamo punto e daccapo. abbiamo altri. morti,NEGATIVE,sadness
questo si!!,POSITIVE,joy
la tengono la “ carabina”. la tengono ancora.,POSITIVE,anger
te lo dico io!!la tengono ancora!!,POSITIVE,anger
tengono ancora gli amici. questo è come dico io!! la terra bruciata. ne dovevano morire ancora una ventina. per tenere la terra bruciata intornoallora si!!,NEGATIVE,anger
la terra bruciata.,NEGATIVE,anger
paura.,NEGATIVE,sadness
eheè. lo diciamo noi. io non lo penso. che cazzo ne voglio fare. io!!,NEGATIVE,anger
non è che quello viene faccia a faccia. quando si sono messi una cosa in testa. ci capita uno per sotto che non c’entra niente (si riferisce agli appartenenti del clan graziano),NEGATIVE,anger
ehè. allora “quello“. (cava biagio)perché è. e mo ti fai fare come il fesso. tu.   ”quello”(cava biagio). hai capito o no? invece adesso. mo. lo vai trovando prima. una cosa era che. invece adesso. trovando.,NEGATIVE,anger
ma tu non lo puoi. uscire più.,NEGATIVE,sadness
non ti puoi più mettere in macchina e te ne vai.,POSITIVE,sadness
no ho mandato già a vedere a nola. (si riferisce al legale). no il numero ci sta sulla segreteria. ma non piglia. (la donna spiega al proprio figlio raffaele la strada per andare a casa di antonio,NEGATIVE,anger
ti devo dire una cosa. ho dovuto parlareperché quello non ci stava.,NEGATIVE,sadness
davvero.,POSITIVE,sadness
no. no. su questo. quello è preciso!!,POSITIVE,joy
non sia mai la madonna,POSITIVE,anger
no!!,NEGATIVE,anger
la sta tutto a postoehè.,POSITIVE,sadness
ho sbagliato a capire. io. allora,NEGATIVE,anger
mannaggia la miseria.,NEGATIVE,anger
no. no. non lo sapeva. hai capito?non lo sapeva!!,NEGATIVE,anger
il significato che questo mi è,POSITIVE,joy
ma come me lo dicesti tu. a me. così mi è sembrato il significatoio pensavo che avevi detto,POSITIVE,joy
ehè. va bene.,POSITIVE,sadness
va bene.,POSITIVE,fear
no. no. no. subito glielo dico. sbagliato non ho capito raffaele. io invece ho capito!!,NEGATIVE,anger
